Dr. Smith;123-45-6789;555-1234;40;Male;75.0;178.0;50.0;MED001;10
Dr. Johnson;987-65-4321;555-5678;35;Male;80.5;182.5;55.0;MED002;12
Dr. Davis;456-78-9012;555-8765;32;Female;65.2;168.7;45.5;MED003;8
Dr. Wilson;789-01-2345;555-4321;45;Male;88.0;185.0;60.0;MED004;15
Dr. Brown;234-56-7890;555-7890;38;Male;77.3;176.3;52.5;MED005;11
Dr. Miller;543-21-0987;555-2345;42;Female;68.9;163.2;48.0;MED006;14
Dr. Anderson;876-54-3210;555-8901;37;Female;70.8;170.0;53.5;MED007;9
Dr. Taylor;210-98-7654;555-3456;40;Male;82.5;180.8;57.5;MED008;13
Dr. Martinez;657-43-2109;555-6789;33;Female;64.0;165.5;46.5;MED009;10
Dr. Thomas;109-87-6543;555-9012;36;Male;79.2;177.2;51.0;MED010;12
